phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	35960	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_GASTROENTERITIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_GASTROENTERITIS_NOS.gz
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1054	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_GONOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_GONOCOCCAL.gz
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	562	453171	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_HELMINTIASES.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_HELMINTIASES.gz
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	141	451214	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_HEPATITIS_A.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_HEPATITIS_A.gz
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	133	451214	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_HEPATITIS_B.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_HEPATITIS_B.gz
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4159	435872	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_HERPES_SIMPLEX.gz
AB1_HIV_INFECT_PARASITES	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	66	453198	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_HIV_INFECT_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_HIV_INFECT_PARASITES.gz
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	265	453198	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_HIV_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_HIV_NOS.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	50302	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_INTESTINAL_INFECTIONS.gz
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	386	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_LATE_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_LATE_SYPHILIS.gz
AB1_LISTERIOSIS	Listeriosis	I Certain infectious and parasitic diseases (AB1_)	137	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_LISTERIOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_LISTERIOSIS.gz
AB1_LYME	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	2659	451074	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_LYME.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_LYME.gz
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	150	452938	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MALARIA.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MALARIA.gz
AB1_MALARIA_FALCIPARIUM	Plasmodium falciparum malaria	I Certain infectious and parasitic diseases (AB1_)	72	452938	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MALARIA_FALCIPARIUM.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MALARIA_FALCIPARIUM.gz
AB1_MALARIA_NOS	Other parasitologically confirmed or unspecified malaria	I Certain infectious and parasitic diseases (AB1_)	63	452938	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MALARIA_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MALARIA_NOS.gz
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	395	435872	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MEASLES.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MEASLES.gz
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	253	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MENINGOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MENINGOCOCCAL.gz
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	901	441039	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MUMPS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MUMPS.gz
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	10124	443609	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MYCOSES.gz
AB1_MYSOSIS_NOS	Other mycoses, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	86	443609	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_MYSOSIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_MYSOSIS_NOS.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	54584	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	311	450562	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_BACT_INOTHER.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_BACT_INOTHER.gz
AB1_OTHER_CESTODE	Other cestode infections	I Certain infectious and parasitic diseases (AB1_)	106	453171	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_CESTODE.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_CESTODE.gz
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	385	453348	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_CHLAMYDIAE.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_CHLAMYDIAE.gz
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)	479	453198	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_CONDITIONS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_CONDITIONS.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	2745	450988	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_INFESTATIONS	Other infestations	I Certain infectious and parasitic diseases (AB1_)	65	451769	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_INFESTATIONS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_INFESTATIONS.gz
AB1_OTHER_MOSQUITO_FEVER	Other mosquito-borne viral fevers	I Certain infectious and parasitic diseases (AB1_)	71	450368	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_MOSQUITO_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_MOSQUITO_FEVER.gz
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)	467	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_MYCOBAC.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_MYCOBAC.gz
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	I Certain infectious and parasitic diseases (AB1_)	426	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_PROTOZOAL.gz
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	15156	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_SEPSIS.gz
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	2810	450923	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_SPIROCHAETAL.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_SPIROCHAETAL.gz
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	650	443609	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_SUPERF_MYCOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_SUPERF_MYCOSIS.gz
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	12694	441039	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_OTHER_VIRAL.gz
AB1_PARASITIC_NOS	Unspecified parasitic disease	I Certain infectious and parasitic diseases (AB1_)	264	451769	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_PARASITIC_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_PARASITIC_NOS.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	I Certain infectious and parasitic diseases (AB1_)	1964	451769	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_PEDICULOSIS_AND_PHTHIRIAASIS	Pediculosis and phthiriasis	I Certain infectious and parasitic diseases (AB1_)	105	451769	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_PEDICULOSIS_AND_PHTHIRIAASIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_PEDICULOSIS_AND_PHTHIRIAASIS.gz
AB1_PNEUMOCYSTOSIS	Pneumocystosis	I Certain infectious and parasitic diseases (AB1_)	433	452938	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_PNEUMOCYSTOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_PNEUMOCYSTOSIS.gz
AB1_POLIOMYELITIS	Acute poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	427	451138	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_POLIOMYELITIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_POLIOMYELITIS.gz
AB1_PROTOZOAL	Protozoal diseases	I Certain infectious and parasitic diseases (AB1_)	795	452938	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_PROTOZOAL.gz
AB1_RELAP_FEVER	Relapsing fevers	I Certain infectious and parasitic diseases (AB1_)	64	450923	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_RELAP_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_RELAP_FEVER.gz
AB1_RESP_TUBERCU_CONF	Respiratory tuberculosis, bacteriologically and histologically confirmed	I Certain infectious and parasitic diseases (AB1_)	638	450922	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_RESP_TUBERCU_CONF.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_RESP_TUBERCU_CONF.gz
AB1_RESP_TUBERCU_NONCONF	Respiratory tuberculosis, not confirmed bacteriologically or histologically	I Certain infectious and parasitic diseases (AB1_)	1513	450922	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_RESP_TUBERCU_NONCONF.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_RESP_TUBERCU_NONCONF.gz
AB1_RICKETTSIOSES	Rickettsioses	I Certain infectious and parasitic diseases (AB1_)	55	453678	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_RICKETTSIOSES.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_RICKETTSIOSES.gz
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)	1155	435872	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_RUBELLA.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_RUBELLA.gz
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)	1265	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SALMONELLA_OTH.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SALMONELLA_OTH.gz
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)	1462	451769	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SCABIES.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SCABIES.gz
AB1_SCARLET_FEVER	Scarlet fever	I Certain infectious and parasitic diseases (AB1_)	222	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SCARLET_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SCARLET_FEVER.gz
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	2002	450833	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULAE_INF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULAE_INF_NOS.gz
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	237	450833	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULAE_POLIO.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULAE_POLIO.gz
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	I Certain infectious and parasitic diseases (AB1_)	667	450833	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULAE_TUBERCU.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULAE_TUBERCU.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	2900	450833	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	13366	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEXUAL_TRANSMISSION.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEXUAL_TRANSMISSION.gz
AB1_SEXUAL_TRANSMISSION_NOS	Other predominantly sexually transmitted diseases, not elsewhere classified	I Certain infectious and parasitic diseases (AB1_)	7060	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEXUAL_TRANSMISSION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SEXUAL_TRANSMISSION_NOS.gz
AB1_SHIGELLOSIS	Shigellosis	I Certain infectious and parasitic diseases (AB1_)	101	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SHIGELLOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SHIGELLOSIS.gz
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)	2846	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_STREPTO_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_STREPTO_SEPSIS.gz
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	185	450562	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_STREPTSTAPHYCOCC_INOTHER.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_STREPTSTAPHYCOCC_INOTHER.gz
AB1_SYPHILIS	Syphilis	I Certain infectious and parasitic diseases (AB1_)	766	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SYPHILIS.gz
AB1_SYPHILIS_NOS	Other and unspecified syphilis	I Certain infectious and parasitic diseases (AB1_)	74	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_SYPHILIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_SYPHILIS_NOS.gz
AB1_TICK_BORNE_ENCEPHALITIS	Tick-borne viral encephalitis	I Certain infectious and parasitic diseases (AB1_)	110	451138	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_TICK_BORNE_ENCEPHALITIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_TICK_BORNE_ENCEPHALITIS.gz
AB1_TOXOPLASMOSIS	Toxoplasmosis	I Certain infectious and parasitic diseases (AB1_)	181	452938	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_TOXOPLASMOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_TOXOPLASMOSIS.gz
AB1_TRICHOMONIASIS	Trichomoniasis	I Certain infectious and parasitic diseases (AB1_)	250	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_TRICHOMONIASIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_TRICHOMONIASIS.gz
AB1_TUBERCULOSIS	Tuberculosis	I Certain infectious and parasitic diseases (AB1_)	2811	450922	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_TUBERCULOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_TUBERCULOSIS.gz
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	I Certain infectious and parasitic diseases (AB1_)	800	450922	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_TUBERCU_OTH_ORG.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_TUBERCU_OTH_ORG.gz
AB1_TULARAEMIA	Tularaemia	I Certain infectious and parasitic diseases (AB1_)	391	453163	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_TULARAEMIA.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_TULARAEMIA.gz
AB1_TYPHOIDPARATHYPHOID	Typhoid and paratyphoid fevers	I Certain infectious and parasitic diseases (AB1_)	138	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_TYPHOIDPARATHYPHOID.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_TYPHOIDPARATHYPHOID.gz
AB1_VARICELLA	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)	1644	435872	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_VARICELLA.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_VARICELLA.gz
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	I Certain infectious and parasitic diseases (AB1_)	673	441039	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_VIRAAL_CONJUNCT.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_VIRAAL_CONJUNCT.gz
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)	2595	451138	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_VIRAL_CNS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_VIRAL_CNS.gz
AB1_VIRAL_ENCEPHALITIS_NOS	Viral encephalitis, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	638	451138	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_VIRAL_ENCEPHALITIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_VIRAL_ENCEPHALITIS_NOS.gz
